l.a1ɪ1.t.ɪ0.n.ʌ0.n, l.a1ɪ1.ɾ.ɪ0.n.ʌ0.n
k.o1ʊ1.t.ʌ0.l.ɚ0, k.o1ʊ1.ɾ.ʌ0.l.ɚ0
w.ɪ1.t.i0, w.ɪ1.ɾ.i0
ɹ.o0ʊ0.s.ɛ1.t.o0ʊ0, ɹ.o0ʊ0.s.ɛ1.ɾ.o0ʊ0
k.ʌ0.m.b.æ1.t.ɪ0.v, k.ʌ0.m.b.æ1.ɾ.ɪ0.v
s.i0.æ1.t.ʌ0.l.z, s.i0.æ1.ɾ.ʌ0.l.z
l.ɛ1.t.ɚ0.m.ʌ0.n.z, l.ɛ1.ɾ.ɚ0.m.ʌ0.n.z
ɹ.o1ʊ1.t.ʌ0.n, ɹ.o1ʊ1.ɾ.ʌ0.n
ɹ.o0ʊ0.s.ɛ1.t.i0, ɹ.o0ʊ0.s.ɛ1.ɾ.i0
m.j.u1.t.ʌ0.l.e2ɪ2.t, m.j.u1.ɾ.ʌ0.l.e2ɪ2.t
p.ɛ1.t.i2, p.ɛ1.ɾ.i2
ɹ.i0.f.ɪ1.t.ɪ0.ŋ, ɹ.i0.f.ɪ1.ɾ.ɪ0.ŋ
ɔ1.t.o0ʊ0.m.e2ɪ2.k.ɚ0.z, ɔ1.ɾ.o0ʊ0.m.e2ɪ2.k.ɚ0.z
l.æ2.n.z.ʌ0.l.ɑ1.t.i0, l.æ2.n.z.ʌ0.l.ɑ1.ɾ.i0
k.ʌ1.t.ʌ0.w.e0ɪ0, k.ʌ1.ɾ.ʌ0.w.e0ɪ0
k.æ2.t.ʌ0.g.ɔ1.ɹ.ɪ0.k.ʌ0.l, k.æ2.ɾ.ʌ0.g.ɔ1.ɹ.ɪ0.k.ʌ0.l
s.v.ɪ1.t.ʌ0.k, s.v.ɪ1.ɾ.ʌ0.k
ʌ0.f.l.ʌ1.t.ɚ0, ʌ0.f.l.ʌ1.ɾ.ɚ0
ʌ0.k.j.u1.m.j.ʌ0.l.e2ɪ2.t.ɚ0.z, ʌ0.k.j.u1.m.j.ʌ0.l.e2ɪ2.ɾ.ɚ0.z
d.æ0.m.ɑ1.t.o2ʊ2, d.æ0.m.ɑ1.ɾ.o2ʊ2
ɹ.a1ɪ1.t.ɪ0.ŋ.z, ɹ.a1ɪ1.ɾ.ɪ0.ŋ.z
æ1.n.ʌ0.m.e2ɪ2.t.ɪ0.d, æ1.n.ʌ0.m.e2ɪ2.ɾ.ɪ0.d
l.ɪ1.b.ɚ2.e2ɪ2.t.ɪ0.ŋ, l.ɪ1.b.ɚ2.e2ɪ2.ɾ.ɪ0.ŋ
m.i1.d.i0.e2ɪ2.t.ɪ0.ŋ, m.i1.d.i0.e2ɪ2.ɾ.ɪ0.ŋ
z.ɑ0.n.ɛ1.t.ʌ0, z.ɑ0.n.ɛ1.ɾ.ʌ0
æ2.n.d.ɹ.ɛ1.t.i0, æ2.n.d.ɹ.ɛ1.ɾ.i0
tʃ.æ1.t.ɪ0.tʃ.a2ɪ2.z, tʃ.æ1.ɾ.ɪ0.tʃ.a2ɪ2.z
n.o1ʊ1.t.ɪ0.k, n.o1ʊ1.ɾ.ɪ0.k
p.a1ʊ1.t.ɪ0.ŋ, p.a1ʊ1.ɾ.ɪ0.ŋ
m.a1ɪ1.t.i0, m.a1ɪ1.ɾ.i0
j.u1.t.ɚ0.o0ʊ0, j.u1.ɾ.ɚ0.o0ʊ0
ɹ.ɪ1.t.ʌ0.l.ɪ0.n, ɹ.ɪ1.ɾ.ʌ0.l.ɪ0.n
l.ʌ1.t.ɚ0, l.ʌ1.ɾ.ɚ0
s.w.i1.t.ʌ0.s.t, s.w.i1.ɾ.ʌ0.s.t
m.ʌ0.k.o1ʊ1.t.o0ʊ0, m.ʌ0.k.o1ʊ1.ɾ.o0ʊ0
d.ɔ0.ɹ.ɛ1.t.i0, d.ɔ0.ɹ.ɛ1.ɾ.i0
l.o1ʊ1.b.o2ʊ2.t.o2ʊ2.m.i0, l.o1ʊ1.b.o2ʊ2.ɾ.o2ʊ2.m.i0
d.ɪ0.s.k.ɹ.ɪ1.m.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, d.ɪ0.s.k.ɹ.ɪ1.m.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
ʌ0.k.j.u1.m.j.ʌ0.l.e2ɪ2.t.ɪ0.ŋ, ʌ0.k.j.u1.m.j.ʌ0.l.e2ɪ2.ɾ.ɪ0.ŋ
b.ɹ.ɪ1.t.ʌ0.n, b.ɹ.ɪ1.ɾ.ʌ0.n
s.k.a1ɪ1.ɹ.a2ɪ2.t.ɚ0.z, s.k.a1ɪ1.ɹ.a2ɪ2.ɾ.ɚ0.z
d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.e2ɪ2.t.ɪ0.ŋ, d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.e2ɪ2.ɾ.ɪ0.ŋ
p.o1ʊ1.s.t.n.e1ɪ1.t.ʌ0.l, p.o1ʊ1.s.t.n.e1ɪ1.ɾ.ʌ0.l
k.o1ʊ1.t.ʌ0, k.o1ʊ1.ɾ.ʌ0
d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.e2ɪ2.t.ɪ0.d, d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.e2ɪ2.ɾ.ɪ0.d
d.ɪ0.k.t.e1ɪ1.t.ɚ0.ʃ.ɪ2.p, d.ɪ0.k.t.e1ɪ1.ɾ.ɚ0.ʃ.ɪ2.p
ʃ.ʌ1.t.ɚ0, ʃ.ʌ1.ɾ.ɚ0
ʌ0.k.i1.t.ʌ0.z, ʌ0.k.i1.ɾ.ʌ0.z
f.ɛ1.t.ɪ0.ʃ.ɪ0.s.t, f.ɛ1.ɾ.ɪ0.ʃ.ɪ0.s.t
k.æ1.s.t.ʌ0.g.e2ɪ2.t.ɪ0.ŋ, k.æ1.s.t.ʌ0.g.e2ɪ2.ɾ.ɪ0.ŋ
n.ɪ0.g.e1ɪ1.t.ɪ0.ŋ, n.ɪ0.g.e1ɪ1.ɾ.ɪ0.ŋ
p.ɛ0.d.ɹ.ɛ1.t.i0, p.ɛ0.d.ɹ.ɛ1.ɾ.i0
b.ɛ1.t.ʌ0.n.k.ɔ0.ɹ.t, b.ɛ1.ɾ.ʌ0.n.k.ɔ0.ɹ.t
m.ɛ1.t.ɪ0.s, m.ɛ1.ɾ.ɪ0.s
p.ɹ.o1ʊ1.t.ɛ2.s.t.ʌ0.d, p.ɹ.o1ʊ1.ɾ.ɛ2.s.t.ʌ0.d
ɹ.u0.s.tʃ.i1.t.i0, ɹ.u0.s.tʃ.i1.ɾ.i0
b.ɚ1.t.ɪ0.l.s.ʌ0.n, b.ɚ1.ɾ.ɪ0.l.s.ʌ0.n
v.ɔ1ɪ1.t.ɪ0.k, v.ɔ1ɪ1.ɾ.ɪ0.k
æ1.n.t.i2.t.ɚ0, æ1.n.t.i2.ɾ.ɚ0
ɹ.i1.t.ɔ2.ɹ.t, ɹ.i1.ɾ.ɔ2.ɹ.t
m.æ1.t.ɪ0.n.e2ɪ2, m.æ1.ɾ.ɪ0.n.e2ɪ2
v.a0ɪ0.e1ɪ1.t.ɚ0, v.a0ɪ0.e1ɪ1.ɾ.ɚ0
d.ɪ0.l.ɪ1.b.ɚ0.e2ɪ2.t.ɪ0.ŋ, d.ɪ0.l.ɪ1.b.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
h.a1ɪ1.t.a2ʊ2.ɚ0.z, h.a1ɪ1.ɾ.a2ʊ2.ɚ0.z
n.u0.n.z.i0.ɑ1.t.ʌ0, n.u0.n.z.i0.ɑ1.ɾ.ʌ0
o2ʊ2.v.ɚ0.n.a1ɪ1.t.ɚ0.z, o2ʊ2.v.ɚ0.n.a1ɪ1.ɾ.ɚ0.z
d.ɪ0.v.i1.t.ʌ0, d.ɪ0.v.i1.ɾ.ʌ0
k.o0ʊ0.l.ɑ0.v.i1.t.o0ʊ0, k.o0ʊ0.l.ɑ0.v.i1.ɾ.o0ʊ0
ɪ0.n.u1.m.ɚ0.e2ɪ2.t.ɪ0.d, ɪ0.n.u1.m.ɚ0.e2ɪ2.ɾ.ɪ0.d
p.ɛ0.t.i0.n.ɑ1.t.o0ʊ0, p.ɛ0.t.i0.n.ɑ1.ɾ.o0ʊ0
æ0.s.f.ɪ1.k.s.i0.e2ɪ2.t.ɪ0.d, æ0.s.f.ɪ1.k.s.i0.e2ɪ2.ɾ.ɪ0.d
ɔ1.t.ɪ2.z.ʌ0.m, ɔ1.ɾ.ɪ2.z.ʌ0.m
m.o1ʊ1.t.ɚ0.ɪ0.ŋ, m.o1ʊ1.ɾ.ɚ0.ɪ0.ŋ
v.ɑ0.n.ɑ1.t.ʌ0, v.ɑ0.n.ɑ1.ɾ.ʌ0
ɪ2.n.ʌ0.d.v.ɚ1.t.ʌ0.n.t.l.i0, ɪ2.n.ʌ0.d.v.ɚ1.ɾ.ʌ0.n.t.l.i0
k.w.ɑ1.p.ɚ0.e2ɪ2.t.ʌ0.d, k.w.ɑ1.p.ɚ0.e2ɪ2.ɾ.ʌ0.d
d.ɪ0.l.i1.t.ɪ0.ŋ, d.ɪ0.l.i1.ɾ.ɪ0.ŋ
l.ɪ2.p.ʌ0.p.ɹ.o1ʊ1.t.i0.n, l.ɪ2.p.ʌ0.p.ɹ.o1ʊ1.ɾ.i0.n
ʌ0.d.ʌ1.l.t.ɚ0.e2ɪ2.t.ɪ0.d, ʌ0.d.ʌ1.l.t.ɚ0.e2ɪ2.ɾ.ɪ0.d
ɔ1.t.ʌ0.m.e2ɪ2.t, ɔ1.ɾ.ʌ0.m.e2ɪ2.t
ɹ.ɛ1.n.ʌ0.v.e2ɪ2.t.ɚ0, ɹ.ɛ1.n.ʌ0.v.e2ɪ2.ɾ.ɚ0
p.æ1.t.ɪ0.s.ʌ0.n, p.æ1.ɾ.ɪ0.s.ʌ0.n
w.ɔ1.t.ɚ0.w.ɚ2.k.s, w.ɔ1.ɾ.ɚ0.w.ɚ2.k.s
ɛ2.k.s.k.ʌ0.m.j.u1.n.ʌ0.k.e2ɪ2.t.ʌ0.d, ɛ2.k.s.k.ʌ0.m.j.u1.n.ʌ0.k.e2ɪ2.ɾ.ʌ0.d
f.ɚ2.t.ʌ0.l.ɪ0.z.e1ɪ1.ʃ.ʌ0.n, f.ɚ2.ɾ.ʌ0.l.ɪ0.z.e1ɪ1.ʃ.ʌ0.n
m.i1.t.ɚ0, m.i1.ɾ.ɚ0
k.ɚ0.ɑ1.t.i0, k.ɚ0.ɑ1.ɾ.i0
w.ɪ1.t.ʌ0.n.b.ɚ0.g, w.ɪ1.ɾ.ʌ0.n.b.ɚ0.g
m.ɪ2.n.ʌ0.s.o1ʊ1.t.ʌ0.n, m.ɪ2.n.ʌ0.s.o1ʊ1.ɾ.ʌ0.n
b.æ1.t.ɚ0.ɚ0, b.æ1.ɾ.ɚ0.ɚ0
s.l.ɛ1.t.ʌ0.n, s.l.ɛ1.ɾ.ʌ0.n
s.ʌ1.b.dʒ.ʌ0.g.e2ɪ2.t.ɪ0.d, s.ʌ1.b.dʒ.ʌ0.g.e2ɪ2.ɾ.ɪ0.d
v.i1.t.o2ʊ2.d, v.i1.ɾ.o2ʊ2.d
t.a1ɪ1.t.ʌ0.n.d, t.a1ɪ1.ɾ.ʌ0.n.d
l.ɪ1.t.ɚ0.z, l.ɪ1.ɾ.ɚ0.z
dʒ.ɑ0.k.ɛ1.t.ʌ0, dʒ.ɑ0.k.ɛ1.ɾ.ʌ0
s.k.ɪ1.t.ʌ0.l.z, s.k.ɪ1.ɾ.ʌ0.l.z
h.i2.l.i0.o0ʊ0.n.ɛ1.t.ɪ0.k.s, h.i2.l.i0.o0ʊ0.n.ɛ1.ɾ.ɪ0.k.s
m.æ1.t.ʌ0.d.ɔ2.ɹ, m.æ1.ɾ.ʌ0.d.ɔ2.ɹ
s.ɛ2.ɹ.ʌ0.s.o1ʊ1.t.ʌ0, s.ɛ2.ɹ.ʌ0.s.o1ʊ1.ɾ.ʌ0
